Distribution Date,Producer Code,Product ID,Product Name,Quantity,Unit Cost,Unit Price
06/11/2021,POG,3806,"Greens, Lettuce, Head",19,3600,3996
06/11/2021,STF,3806,"Greens, Lettuce, Head",38,3600,3996
06/11/2021,POG,3819,"Greens, Salad Mix - 24 ct 0.75lb",19,8400,9324
06/15/2021,WKH,3573,"Greens, Bok Choy",19,4000,4440
06/15/2021,STF,3806,"Greens, Lettuce, Head",15,3600,3996
06/15/2021,WKH,3806,"Greens, Lettuce, Head",5,3600,3996
06/15/2021,YMF,3266,"Onions, Scallions",11,2880,3197
06/15/2021,HAF,3266,"Onions, Scallions",6,2880,3197
06/15/2021,NTN,3266,"Onions, Scallions",39,2880,3197
06/15/2021,SGC,3266,"Onions, Scallions",5,2880,3197
06/15/2021,CVP,3266,"Onions, Scallions",5,2880,3197
06/15/2021,CHO,3278,"Radish, Red, Bulk, Bunched w/Tops",52,3375,3746
06/15/2021,KLF,3278,"Radish, Red, Bulk, Bunched w/Tops",10,3375,3746
06/18/2021,LXF,3304,Garlic Scapes,30,4800,5328
06/18/2021,YMF,3813,"Greens, Kale",24,3600,3996
06/18/2021,NTN,3813,"Greens, Kale",14,3600,3996
06/18/2021,POG,3140,"Kohlrabi, White",36,4680,5148
06/18/2021,D2D,3252,"Radish, French Breakfast",19,3600,3996
06/18/2021,CHO,3278,"Radish, Red, Bulk, Bunched w/Tops",30,3375,3746
06/22/2021,WKH,3573,"Greens, Bok Choy",10,4000,4440
06/22/2021,YMF,3806,"Greens, Lettuce, Head",15,3600,3996
06/22/2021,STF,3806,"Greens, Lettuce, Head",15,3600,3996
06/22/2021,WKH,3806,"Greens, Lettuce, Head",5,3600,3996
06/22/2021,CHO,3266,"Onions, Scallions",5,2880,3197
06/22/2021,HAF,3266,"Onions, Scallions",5,2880,3197
06/22/2021,SGC,3266,"Onions, Scallions",5,2880,3197
06/22/2021,CVP,3266,"Onions, Scallions",5,2880,3197
06/22/2021,D2D,3278,"Radish, Red, Bulk, Bunched w/Tops",5,3375,3746
06/22/2021,CBS,3278,"Radish, Red, Bunched w/Tops",10,3375,3746
06/22/2021,KLF,3278,"Radish, Red, Bunched w/Tops",10,3375,3746
06/25/2021,POG,3669,"Greens, Chard",38,3600,3996
06/25/2021,SEE,3813,"Greens, Kale, Green Curly, Organic",38,2400,2664
06/25/2021,HAF,3806,"Greens, Lettuce, Head",10,3600,3996
06/25/2021,HAF,3806,"Greens, Lettuce, Head",7,3600,3996
06/25/2021,WKH,3806,"Greens, Lettuce, Head",13,3600,3996
06/29/2021,YMF,3266,"Onions, Scallions",11,2880,3197
06/29/2021,HAF,3266,"Onions, Scallions",7,2880,3197
06/29/2021,NTN,3266,"Onions, Scallions",5,2880,3197
06/29/2021,SGC,3266,"Onions, Scallions",5,2880,3197
06/29/2021,CVP,3266,"Onions, Scallions",5,2880,3197
06/29/2021,CBS,3278,"Radish, Red, Bunched w/Tops",10,3375,3746
06/29/2021,D2D,3278,"Radish, Red, Bunched w/Tops",9,3375,3746
06/29/2021,KLF,3278,"Radish, Red, Bunched w/Tops",5,3375,3746
07/02/2021,NTN,3813,"Greens, Kale",30,3600,3996
07/02/2021,LXF,3390,"Potatoes, New Red",28,10000,11100
07/02/2021,SEE,3184,"Squash, Summer Green Zucchini, Organic",40,2500,2775
07/06/2021,HAF,3266,"Onions, Scallions",11,2880,3197
07/06/2021,NTN,3266,"Onions, Scallions",11,2880,3197
07/06/2021,SGC,3266,"Onions, Scallions",11,2880,3197
07/06/2021,CVP,3266,"Onions, Scallions",11,2880,3197
07/06/2021,CBS,3278,"Radish, Red, Bunched w/Tops",5,3375,3746
07/06/2021,KLF,3278,"Radish, Red, Bunched w/Tops",8,3375,3746
07/06/2021,MLF,3278,"Radish, Red, Bunched w/Tops",5,3375,3746
07/06/2021,MHG,3184,"Squash, Summer, Green Zucchini",11,2000,2220
07/06/2021,SGC,3184,"Squash, Summer, Green Zucchini",20,2000,2220
07/09/2021,SEE,3326,Fennel,30,4200,4662
07/09/2021,HAF,3806,"Greens, Lettuce, Head",10,3600,3996
07/09/2021,YMF,3775,Kohlrabi,15,3000,3329
07/09/2021,YMF,3216,Rhubarb,27,5625,6244
07/09/2021,LXF,3184,"Squash, Summer, Green Zucchini",15,2500,2775
07/09/2021,WKH,3184,"Squash, Summer, Green Zucchini",20,2000,2220
07/13/2021,MKV,3754,Cabbage,4,3400,3774
07/13/2021,SGC,3361,"Cucumbers, Slicing",6,2000,2220
07/13/2021,AFC,3138,"Greens, Collards",3,3600,3996
07/13/2021,D2D,3138,"Greens, Collards",10,3600,3996
07/13/2021,MLG,3138,"Greens, Collards",7,3600,3996
07/13/2021,SGC,3806,"Greens, Lettuce, Head",8,3600,3996
07/13/2021,D2D,3278,"Radish, Red, Bunched w/Tops",5,3375,3746
07/13/2021,KLF,3278,"Radish, Red, Bunched w/Tops",24,3375,3746
07/13/2021,WKH,3278,"Radish, Red, Bunched w/Tops",39,3375,3746
07/13/2021,AFC,3184,"Squash, Summer, Zucchini",3,2000,2220
07/13/2021,D2D,3184,"Squash, Summer, Zucchini",9,2000,2220
07/13/2021,LXF,3184,"Squash, Summer, Zucchini",55,2000,2220
07/13/2021,SGC,3184,"Squash, Summer, Zucchini",20,2000,2220
07/16/2021,SEE,3579,"Celery, Organic",24,6666,7398
07/16/2021,HAF,3361,"Cucumbers, Slicing",13,2000,2220
07/16/2021,SGC,3361,"Cucumbers, Slicing",9,2000,2220
07/16/2021,SEE,3361,"Cucumbers, Slicing, Organic",16,2500,2775
07/16/2021,HAF,3138,"Greens, Collards",37,3600,3996
07/16/2021,HAF,3138,"Greens, Collards",1,3600,3996
07/16/2021,CHO,3278,"Radish, Red, Bunched w/Tops",7,3375,3746
07/16/2021,HAF,3278,"Radish, Red, Bunched w/Tops",3,3375,3746
07/16/2021,CHO,3184,"Squash, Summer Yellow & Green",10,2400,2664
07/16/2021,HAF,3184,"Squash, Summer, Zucchini, Yellow",20,3500,3885
07/20/2021,MKV,3401,"Beans, Green",7,6250,6938
07/20/2021,STF,3401,"Beans, Green",7,6250,6938
07/20/2021,YMF,3401,"Beans, Green",18,6250,6938
07/20/2021,MLG,3401,"Beans, Green",15,6250,6938
07/20/2021,PBY,3401,"Beans, Green",13,6250,6938
07/20/2021,YMF,3592,Broccoli,20,3145,3490
07/20/2021,PBY,3592,Broccoli,12,3145,3490
07/20/2021,D2D,3754,Cabbage,7,3400,3774
07/20/2021,CBS,3361,"Cucumbers, Slicing",7,2000,2220
07/20/2021,CLP,3361,"Cucumbers, Slicing",12,2000,2220
07/20/2021,PBY,3361,"Cucumbers, Slicing",13,2000,2220
07/20/2021,SGC,3361,"Cucumbers, Slicing",6,2000,2220
07/20/2021,WKH,3361,"Cucumbers, Slicing",16,2000,2220
07/20/2021,PBY,3573,"Greens, Bok Choy",10,4000,4440
07/20/2021,STF,3573,"Greens, Bok Choy",20,4000,4440
07/20/2021,CLP,3813,"Greens, Kale",10,3600,3996
07/20/2021,D2D,3813,"Greens, Kale",14,3600,3996
07/20/2021,NTN,3813,"Greens, Kale",30,3600,3996
07/20/2021,PLT,3813,"Greens, Kale",10,3600,3996
07/20/2021,MKV,3775,Kohlrabi,16,3000,3329
07/20/2021,CBS,3278,"Radish, Red, Bunched w/Tops",4,3375,3746
07/20/2021,D2D,3278,"Radish, Red, Bunched w/Tops",2,3375,3746
07/20/2021,KLF,3278,"Radish, Red, Bunched w/Tops",26,3375,3746
07/20/2021,AFC,3184,"Squash, Summer, Green Zucchini",3,2000,2220
07/20/2021,SGC,3184,"Squash, Summer, Green Zucchini",26,2000,2220
07/20/2021,D2D,3184,"Squash, Summer, Zucchini",9,2000,2220
07/20/2021,LXF,3184,"Squash, Summer, Zucchini",50,2000,2220
07/20/2021,WKH,3184,"Squash, Summer, Zucchini",17,2000,2220
07/23/2021,CHO,3401,"Beans, Green",31,6250,6938
07/23/2021,MKV,3756,Cucumbers,16,2000,2220
07/23/2021,WKH,3361,"Cucumbers, Slicing",15,2000,2220
