Distribution Date,Producer Code,Product ID,Product,Quantity,Unit Cost,Unit Price
06/15/2022,CMA,3278,"Radish, Red, Bunched w/Tops",5,4350,4829
06/15/2022,CBO,3278,"Radish, Red, Bunched w/Tops",5,4350,4829
06/17/2022,KHF,3806,"Greens, Lettuce, Head",15,4275,4745
06/17/2022,CMU,3266,"Onions, Scallions",12,3725,4135
06/17/2022,CVP,3266,"Onions, Scallions",12,3725,4135
06/24/2022,CMU,3266,"Onions, Scallions",12,3725,4135
06/24/2022,CVP,3266,"Onions, Scallions",12,3725,4135
06/24/2022,YMF,3806,"Greens, Lettuce, Head",10,4275,4745
06/24/2022,D2D,3278,"Radish, Red, Bunched w/Tops",15,4001,4829
06/24/2022,KHF,3806,"Greens, Lettuce, Head",15,4275,4745
06/24/2022,YMF,3266,"Onions, Scallions",10,3725,4135
06/24/2022,YMF,3266,"Onions, Scallions",10,3725,4135
06/30/2022,CBS,3278,"Radish, Red, Bunched w/Tops",5,4350,4829
06/30/2022,D2D,3278,"Radish, Red, Bunched w/Tops",15,4350,4829
06/30/2022,CVP,3266,"Onions, Scallions",24,3375,3746
06/30/2022,CMU,3266,"Onions, Scallions",12,3375,3746
06/30/2022,TEB,3266,"Onions, Scallions",12,3375,3746
07/05/2022,CHO,3278,"Radish, Red, Bunched w/Tops",20,4350,4829
07/05/2022,YMF,3266,"Onions, Scallions",10,3375,3746
07/05/2022,YMF,3806,"Greens, Lettuce, Head",10,4275,4745
07/08/2022,NTN,3266,"Onions, Scallions",10,3375,3746
07/08/2022,LVO,3138,"Greens, Collards",5,4275,4745
07/08/2022,HAF,3266,"Onions, Scallions",5,3375,3746
07/08/2022,CVP,3266,"Onions, Scallions",12,3375,3746
07/08/2022,CMU,3266,"Onions, Scallions",10,3375,3746
07/08/2022,D2D,3278,"Radish, Red, Bunched w/Tops",10,4350,4829
07/08/2022,HAF,3806,"Greens, Lettuce, Head",5,4275,4745
07/08/2022,YMF,3266,"Onions, Scallions",19,3375,3746
07/08/2022,RSV,3806,"Greens, Lettuce, Head",10,4275,4745
07/08/2022,YMF,3806,"Greens, Lettuce, Head",6,4275,4745
07/08/2022,AFC,3138,"Greens, Collards",8,4275,4745
07/15/2022,TEB,3266,"Onions, Scallions",12,3375,3746
07/15/2022,CBO,3669,"Greens, Chard",5,4275,4745
07/15/2022,JWI,3813,"Greens, Kale",5,4275,4745
07/15/2022,D2D,3278,"Radish, Red, Bunched w/Tops",5,4350,4829
07/15/2022,CMA,3813,"Greens, Kale",5,4275,4745
07/15/2022,CMU,3138,"Greens, Collards",10,4275,4745
07/15/2022,CHO,3278,"Radish, Red, Bunched w/Tops",15,4350,4829
