,Unnamed: 0,Delivery Week,Producer Code,Product ID,Product,Quantity,Cost,Price
0,0,6/6/2022,CMA,3266,"Onions, Green or Scallions-24 ct",5,3375,3746
1,1,6/6/2022,YMF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745
2,2,6/6/2022,ONC,3266,"Onions, Green or Scallions-24 ct",5,3375,3746
3,3,6/6/2022,CHO,3278,"Radishes, bunched-24 ct",20,4350,4829
4,4,6/6/2022,CVP,3266,"Onions, Green or Scallions-24 ct",12,3375,3746
5,5,6/6/2022,TEB,3266,"Onions, Green or Scallions-24 ct",12,3375,3746
6,6,6/6/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745
7,7,6/6/2022,JWI,3278,"Radishes, bunched-24 ct",10,4350,4829
8,8,6/6/2022,CMU,3266,"Onions, Green or Scallions-24 ct",12,3375,3746
9,9,6/6/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",5,4275,4745
10,10,6/6/2022,CBS,3278,"Radishes, bunched-24 ct",20,4350,4829
11,11,6/6/2022,YMF,3266,"Onions, Green or Scallions-24 ct",10,3375,3746
12,12,6/13/2022,CVP,3266,"Onions, Green or Scallions-24 ct",12,3375,3746
13,13,6/13/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",5,4275,4745
14,14,6/13/2022,YMF,3266,"Onions, Green or Scallions-24 ct",10,3375,3746
15,15,6/13/2022,ONC,3266,"Onions, Green or Scallions-24 ct",5,3375,3746
16,16,6/13/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745
17,17,6/13/2022,CHO,3278,"Radishes, bunched-24 ct",20,4350,4829
18,18,6/13/2022,YMF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745
19,19,6/13/2022,CMA,3266,"Onions, Green or Scallions-24 ct",5,3375,3746
20,20,6/13/2022,CBS,3278,"Radishes, bunched-24 ct",15,4350,4829
21,21,6/13/2022,CMU,3266,"Onions, Green or Scallions-24 ct",12,3375,3746
22,22,6/13/2022,TEB,3266,"Onions, Green or Scallions-24 ct",12,3375,3746
23,23,6/13/2022,JWI,3278,"Radishes, bunched-24 ct",15,4350,4829
24,24,6/20/2022,JWI,3278,"Radishes, bunched-24 ct",5,4350,4829
25,25,6/20/2022,TEB,3266,"Onions, Green or Scallions-24 ct",12,3375,3746
26,26,6/20/2022,CMA,3266,"Onions, Green or Scallions-24 ct",5,3375,3746
27,27,6/20/2022,CBO,3278,"Radishes, bunched-24 ct",5,4350,4829
28,28,6/20/2022,YMF,3266,"Onions, Green or Scallions-24 ct",10,3375,3746
29,29,6/20/2022,YMF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745
30,30,6/20/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",10,4275,4745
31,31,6/20/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",5,4275,4745
32,32,6/20/2022,ONC,3266,"Onions, Green or Scallions-24 ct",5,3375,3746
