Delivery Week,Producer Code,Product ID,Product,Quantity,Cost,Price,Fulfilled,Water Access,Land Ownership
10/10/2022,PBY,3613,"Beets, Bulk",11,3100,3440,11,False,False
10/10/2022,CAL,3759,"Onions, Bulb",20,4625,5134,20,True,True
10/10/2022,KSL,3613,"Beets, Bulk",11,3100,3440,11,False,False
10/10/2022,MFP,3573,"Greens, Bok Choi",10,4625,5134,10,False,False
10/10/2022,SRF,3759,"Onions, Bulb",10,4625,5134,10,True,False
10/10/2022,NTN,3613,"Beets, Bulk",11,3100,3440,11,False,False
10/10/2022,YMF,3178,"Radishes, Purple Daikon",22,3900,4329,22,True,False
10/10/2022,YMF,3132,"Carrots, Rainbow",22,3675,4079,22,True,False
10/10/2022,KHF,3759,"Onions, Bulb",10,4625,5134,0,False,False
10/10/2022,PBY,3573,"Greens, Bok Choi",10,4625,5134,0,False,False
10/10/2022,MFP,3573,"Greens, Bok Choi",10,4625,5134,10,False,False
10/10/2022,PZM,3573,"Greens, Bok Choi",18,4625,5134,0,True,False
10/10/2022,PBY,3573,"Greens, Bok Choi",10,4625,5134,0,False,False
10/10/2022,PZM,3573,"Greens, Bok Choi",10,4625,5134,0,True,False
10/10/2022,RSV,3755,"Carrots, Orange",22,3675,4079,22,False,False
10/10/2022,MFP,3573,"Greens, Bok Choi",10,4625,5134,10,False,False
10/10/2022,YMF,3178,"Radishes, Purple Daikon",22,3900,4329,22,True,False
10/10/2022,SRF,3759,"Onions, Bulb",20,4625,5134,20,True,False
10/10/2022,CLP,3613,"Beets, Bulk",11,3100,3440,11,False,True
10/10/2022,PBY,3573,"Greens, Bok Choi",10,4625,5134,0,False,False
10/10/2022,TEB,3573,"Greens, Bok Choi",10,4625,5134,10,False,True
10/10/2022,HAF,3178,"Radishes, Purple Daikon",22,3900,4329,0,False,True
10/10/2022,KAL,3132,"Carrots, Rainbow",22,3675,4079,0,False,False
10/10/2022,TEB,3573,"Greens, Bok Choi",10,4625,5134,10,False,True
10/10/2022,MFP,3759,"Onions, Bulb",10,4625,5134,10,False,False
10/10/2022,PBY,3613,"Beets, Bulk",11,3100,3440,11,False,False
10/10/2022,AGF,3759,"Onions, Bulb",20,4625,5134,13,True,True
10/10/2022,YMF,3613,"Beets, Bulk",11,3100,3440,11,True,False
10/10/2022,PBY,3573,"Greens, Bok Choi",10,4625,5134,0,False,False
10/10/2022,MLG,3759,"Onions, Bulb",10,4625,5134,10,False,False
10/10/2022,PBY,3573,"Greens, Bok Choi",10,4625,5134,0,False,False
10/17/2022,NTN,3755,"Carrots, Orange",22,3675,4079,0,False,False
10/17/2022,CLP,3613,"Beets, Bulk",11,3100,3440,11,False,True
10/17/2022,MLG,3755,"Carrots, Orange",22,3675,4079,0,False,False
10/17/2022,PBY,3613,"Beets, Bulk",11,3100,3440,11,False,False
