Distribution Date,Producer Code,Product ID,Product Name,Quantity,Unit Cost,Unit Price
06/11/2021,POG,3806,"Greens, Lettuce, Head",19,$36.00,$39.96
06/11/2021,STF,3806,"Greens, Lettuce, Head",38,$36.00,$39.96
06/11/2021,POG,3819,"Greens, Salad Mix - 24 ct 0.75lb",19,$84.00,$93.24
06/15/2021,WKH,3573,"Greens, Bok Choy",19,$40.00,$44.40
06/15/2021,STF,3806,"Greens, Lettuce, Head",15,$36.00,$39.96
06/15/2021,WKH,3806,"Greens, Lettuce, Head",5,$36.00,$39.96
06/15/2021,YMF,3266,"Onions, Scallions",11,$28.80,$31.97
06/15/2021,HAF,3266,"Onions, Scallions",6,$28.80,$31.97
06/15/2021,NTN,3266,"Onions, Scallions",39,$28.80,$31.97
06/15/2021,SGC,3266,"Onions, Scallions",5,$28.80,$31.97
06/15/2021,CVP,3266,"Onions, Scallions",5,$28.80,$31.97
06/15/2021,CHO,3278,"Radish, Red, Bulk, Bunched w/Tops",52,$33.75,$37.46
06/15/2021,KLF,3278,"Radish, Red, Bulk, Bunched w/Tops",10,$33.75,$37.46
06/18/2021,LXF,3304,Garlic Scapes,30,$48.00,$53.28
06/18/2021,YMF,3813,"Greens, Kale",24,$36.00,$39.96
06/18/2021,NTN,3813,"Greens, Kale",14,$36.00,$39.96
06/18/2021,POG,3140,"Kohlrabi, White",36,$46.80,$51.48
06/18/2021,D2D,3252,"Radish, French Breakfast",19,$36.00,$39.96
06/18/2021,CHO,3278,"Radish, Red, Bulk, Bunched w/Tops",30,$33.75,$37.46
06/22/2021,WKH,3573,"Greens, Bok Choy",10,$40.00,$44.40
06/22/2021,YMF,3806,"Greens, Lettuce, Head",15,$36.00,$39.96
06/22/2021,STF,3806,"Greens, Lettuce, Head",15,$36.00,$39.96
06/22/2021,WKH,3806,"Greens, Lettuce, Head",5,$36.00,$39.96
06/22/2021,CHO,3266,"Onions, Scallions",5,$28.80,$31.97
06/22/2021,HAF,3266,"Onions, Scallions",5,$28.80,$31.97
06/22/2021,SGC,3266,"Onions, Scallions",5,$28.80,$31.97
06/22/2021,CVP,3266,"Onions, Scallions",5,$28.80,$31.97
06/22/2021,D2D,3278,"Radish, Red, Bulk, Bunched w/Tops",5,$33.75,$37.46
06/22/2021,CBS,3278,"Radish, Red, Bunched w/Tops",10,$33.75,$37.46
06/22/2021,KLF,3278,"Radish, Red, Bunched w/Tops",10,$33.75,$37.46
06/25/2021,POG,3669,"Greens, Chard",38,$36.00,$39.96
06/25/2021,SEE,3813,"Greens, Kale, Green Curly, Organic",38,$24.00,$26.64
06/25/2021,HAF,3806,"Greens, Lettuce, Head",10,$36.00,$39.96
06/25/2021,HAF,3806,"Greens, Lettuce, Head",7,$36.00,$39.96
06/25/2021,WKH,3806,"Greens, Lettuce, Head",13,$36.00,$39.96
06/29/2021,YMF,3266,"Onions, Scallions",11,$28.80,$31.97
06/29/2021,HAF,3266,"Onions, Scallions",7,$28.80,$31.97
06/29/2021,NTN,3266,"Onions, Scallions",5,$28.80,$31.97
06/29/2021,SGC,3266,"Onions, Scallions",5,$28.80,$31.97
06/29/2021,CVP,3266,"Onions, Scallions",5,$28.80,$31.97
06/29/2021,CBS,3278,"Radish, Red, Bunched w/Tops",10,$33.75,$37.46
06/29/2021,D2D,3278,"Radish, Red, Bunched w/Tops",9,$33.75,$37.46
06/29/2021,KLF,3278,"Radish, Red, Bunched w/Tops",5,$33.75,$37.46
07/02/2021,NTN,3813,"Greens, Kale",30,$36.00,$39.96
07/02/2021,LXF,3390,"Potatoes, New Red",28,$100.00,$111.00
07/02/2021,SEE,3184,"Squash, Summer Green Zucchini, Organic",40,$25.00,$27.75
07/06/2021,HAF,3266,"Onions, Scallions",11,$28.80,$31.97
07/06/2021,NTN,3266,"Onions, Scallions",11,$28.80,$31.97
07/06/2021,SGC,3266,"Onions, Scallions",11,$28.80,$31.97
07/06/2021,CVP,3266,"Onions, Scallions",11,$28.80,$31.97
07/06/2021,CBS,3278,"Radish, Red, Bunched w/Tops",5,$33.75,$37.46
07/06/2021,KLF,3278,"Radish, Red, Bunched w/Tops",8,$33.75,$37.46
07/06/2021,MLF,3278,"Radish, Red, Bunched w/Tops",5,$33.75,$37.46
07/06/2021,MHG,3184,"Squash, Summer, Green Zucchini",11,$20.00,$22.20
07/06/2021,SGC,3184,"Squash, Summer, Green Zucchini",20,$20.00,$22.20
07/09/2021,SEE,3326,Fennel,30,$42.00,$46.62
07/09/2021,HAF,3806,"Greens, Lettuce, Head",10,$36.00,$39.96
07/09/2021,YMF,3775,Kohlrabi,15,$30.00,$33.30
07/09/2021,YMF,3216,Rhubarb,27,$56.25,$62.44
07/09/2021,LXF,3184,"Squash, Summer, Green Zucchini",15,$25.00,$27.75
07/09/2021,WKH,3184,"Squash, Summer, Green Zucchini",20,$20.00,$22.20
07/13/2021,MKV,3754,Cabbage,4,$34.00,$37.74
07/13/2021,SGC,3361,"Cucumbers, Slicing",6,$20.00,$22.20
07/13/2021,AFC,3138,"Greens, Collards",3,$36.00,$39.96
07/13/2021,D2D,3138,"Greens, Collards",10,$36.00,$39.96
07/13/2021,MLG,3138,"Greens, Collards",7,$36.00,$39.96
07/13/2021,SGC,3806,"Greens, Lettuce, Head",8,$36.00,$39.96
07/13/2021,D2D,3278,"Radish, Red, Bunched w/Tops",5,$33.75,$37.46
07/13/2021,KLF,3278,"Radish, Red, Bunched w/Tops",24,$33.75,$37.46
07/13/2021,WKH,3278,"Radish, Red, Bunched w/Tops",39,$33.75,$37.46
07/13/2021,AFC,3184,"Squash, Summer, Zucchini",3,$20.00,$22.20
07/13/2021,D2D,3184,"Squash, Summer, Zucchini",9,$20.00,$22.20
07/13/2021,LXF,3184,"Squash, Summer, Zucchini",55,$20.00,$22.20
07/13/2021,SGC,3184,"Squash, Summer, Zucchini",20,$20.00,$22.20
07/16/2021,SEE,3579,"Celery, Organic",24,$66.66,$73.99
07/16/2021,HAF,3361,"Cucumbers, Slicing",13,$20.00,$22.20
07/16/2021,SGC,3361,"Cucumbers, Slicing",9,$20.00,$22.20
07/16/2021,SEE,3361,"Cucumbers, Slicing, Organic",16,$25.00,$27.75
07/16/2021,HAF,3138,"Greens, Collards",37,$36.00,$39.96
07/16/2021,HAF,3138,"Greens, Collards",1,$36.00,$39.96
07/16/2021,CHO,3278,"Radish, Red, Bunched w/Tops",7,$33.75,$37.46
07/16/2021,HAF,3278,"Radish, Red, Bunched w/Tops",3,$33.75,$37.46
07/16/2021,CHO,3184,"Squash, Summer Yellow & Green",10,$24.00,$26.64
07/16/2021,HAF,3184,"Squash, Summer, Zucchini, Yellow",20,$35.00,$38.85
07/20/2021,MKV,3401,"Beans, Green",7,$62.50,$69.38
07/20/2021,STF,3401,"Beans, Green",7,$62.50,$69.38
07/20/2021,YMF,3401,"Beans, Green",18,$62.50,$69.38
07/20/2021,MLG,3401,"Beans, Green",15,$62.50,$69.38
07/20/2021,PBY,3401,"Beans, Green",13,$62.50,$69.38
07/20/2021,YMF,3592,Broccoli,20,$31.45,$34.91
07/20/2021,PBY,3592,Broccoli,12,$31.45,$34.91
07/20/2021,D2D,3754,Cabbage,7,$34.00,$37.74
07/20/2021,CBS,3361,"Cucumbers, Slicing",7,$20.00,$22.20
07/20/2021,CLP,3361,"Cucumbers, Slicing",12,$20.00,$22.20
07/20/2021,PBY,3361,"Cucumbers, Slicing",13,$20.00,$22.20
07/20/2021,SGC,3361,"Cucumbers, Slicing",6,$20.00,$22.20
07/20/2021,WKH,3361,"Cucumbers, Slicing",16,$20.00,$22.20
07/20/2021,PBY,3573,"Greens, Bok Choy",10,$40.00,$44.40
07/20/2021,STF,3573,"Greens, Bok Choy",20,$40.00,$44.40
07/20/2021,CLP,3813,"Greens, Kale",10,$36.00,$39.96
07/20/2021,D2D,3813,"Greens, Kale",14,$36.00,$39.96
07/20/2021,NTN,3813,"Greens, Kale",30,$36.00,$39.96
07/20/2021,PLT,3813,"Greens, Kale",10,$36.00,$39.96
