Delivery Week,Producer Code,Product ID,Product,Quantity,Cost,Price
06/15/2022,CMA,3278,"Radish, Red, Bunched w/Tops",5,$43.50,$48.29
06/15/2022,CBO,3278,"Radish, Red, Bunched w/Tops",5,$43.50,$48.29
06/17/2022,KHF,3806,"Greens, Lettuce, Head",15,$42.75,$47.45
06/17/2022,CMU,3266,"Onions, Scallions",12,$37.25,$41.35
06/17/2022,CVP,3266,"Onions, Scallions",12,$37.25,$41.35
06/24/2022,CMU,3266,"Onions, Scallions",12,$37.25,$41.35
06/24/2022,CVP,3266,"Onions, Scallions",12,$37.25,$41.35
06/24/2022,YMF,3806,"Greens, Lettuce, Head",10,$42.75,$47.45
06/24/2022,D2D,3278,"Radish, Red, Bunched w/Tops",15,$40.01,$48.29
06/24/2022,KHF,3806,"Greens, Lettuce, Head",15,$42.75,$47.45
06/24/2022,YMF,3266,"Onions, Scallions",10,$37.25,$41.35
06/24/2022,YMF,3266,"Onions, Scallions",10,$37.25,$41.35
06/30/2022,CBS,3278,"Radish, Red, Bunched w/Tops",5,$43.50,$48.29
06/30/2022,D2D,3278,"Radish, Red, Bunched w/Tops",15,$43.50,$48.29
06/30/2022,CVP,3266,"Onions, Scallions",24,$33.75,$37.46
06/30/2022,CMU,3266,"Onions, Scallions",12,$33.75,$37.46
06/30/2022,TEB,3266,"Onions, Scallions",12,$33.75,$37.46
07/05/2022,CHO,3278,"Radish, Red, Bunched w/Tops",20,$43.50,$48.29
07/05/2022,YMF,3266,"Onions, Scallions",10,$33.75,$37.46
07/05/2022,YMF,3806,"Greens, Lettuce, Head",10,$42.75,$47.45
07/08/2022,NTN,3266,"Onions, Scallions",10,$33.75,$37.46
07/08/2022,LVO,3138,"Greens, Collards",5,$42.75,$47.45
07/08/2022,HAF,3266,"Onions, Scallions",5,$33.75,$37.46
07/08/2022,CVP,3266,"Onions, Scallions",12,$33.75,$37.46
07/08/2022,CMU,3266,"Onions, Scallions",10,$33.75,$37.46
07/08/2022,D2D,3278,"Radish, Red, Bunched w/Tops",10,$43.50,$48.29
07/08/2022,HAF,3806,"Greens, Lettuce, Head",5,$42.75,$47.45
07/08/2022,YMF,3266,"Onions, Scallions",19,$33.75,$37.46
07/08/2022,RSV,3806,"Greens, Lettuce, Head",10,$42.75,$47.45
07/08/2022,YMF,3806,"Greens, Lettuce, Head",6,$42.75,$47.45
07/08/2022,AFC,3138,"Greens, Collards",8,$42.75,$47.45
07/15/2022,TEB,3266,"Onions, Scallions",12,$33.75,$37.46
07/15/2022,CBO,3669,"Greens, Chard",5,$42.75,$47.45
07/15/2022,JWI,3813,"Greens, Kale",5,$42.75,$47.45
