Delivery Week,Producer Code,Product ID,Product,Quantity,Cost,Price
6/6/2022,CMA,3266,"Onions, Green or Scallions-24 ct",5,$33.75,$37.46
6/6/2022,YMF,3806,"Greens, Lettuce, Head-24 ct green",10,$42.75,$47.45
6/6/2022,ONC,3266,"Onions, Green or Scallions-24 ct",5,$33.75,$37.46
6/6/2022,CHO,3278,"Radishes, bunched-24 ct",20,$43.50,$48.29
6/6/2022,CVP,3266,"Onions, Green or Scallions-24 ct",12,$33.75,$37.46
6/6/2022,TEB,3266,"Onions, Green or Scallions-24 ct",12,$33.75,$37.46
6/6/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",10,$42.75,$47.45
6/6/2022,JWI,3278,"Radishes, bunched-24 ct",10,$43.50,$48.29
6/6/2022,CMU,3266,"Onions, Green or Scallions-24 ct",12,$33.75,$37.46
6/6/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",5,$42.75,$47.45
6/6/2022,CBS,3278,"Radishes, bunched-24 ct",20,$43.50,$48.29
6/6/2022,YMF,3266,"Onions, Green or Scallions-24 ct",10,$33.75,$37.46
6/13/2022,CVP,3266,"Onions, Green or Scallions-24 ct",12,$33.75,$37.46
6/13/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",5,$42.75,$47.45
6/13/2022,YMF,3266,"Onions, Green or Scallions-24 ct",10,$33.75,$37.46
6/13/2022,ONC,3266,"Onions, Green or Scallions-24 ct",5,$33.75,$37.46
6/13/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",10,$42.75,$47.45
6/13/2022,CHO,3278,"Radishes, bunched-24 ct",20,$43.50,$48.29
6/13/2022,YMF,3806,"Greens, Lettuce, Head-24 ct green",10,$42.75,$47.45
6/13/2022,CMA,3266,"Onions, Green or Scallions-24 ct",5,$33.75,$37.46
6/13/2022,CBS,3278,"Radishes, bunched-24 ct",15,$43.50,$48.29
6/13/2022,CMU,3266,"Onions, Green or Scallions-24 ct",12,$33.75,$37.46
6/13/2022,TEB,3266,"Onions, Green or Scallions-24 ct",12,$33.75,$37.46
6/13/2022,JWI,3278,"Radishes, bunched-24 ct",15,$43.50,$48.29
6/20/2022,JWI,3278,"Radishes, bunched-24 ct",5,$43.50,$48.29
6/20/2022,TEB,3266,"Onions, Green or Scallions-24 ct",12,$33.75,$37.46
6/20/2022,CMA,3266,"Onions, Green or Scallions-24 ct",5,$33.75,$37.46
6/20/2022,CBO,3278,"Radishes, bunched-24 ct",5,$43.50,$48.29
6/20/2022,YMF,3266,"Onions, Green or Scallions-24 ct",10,$33.75,$37.46
6/20/2022,YMF,3806,"Greens, Lettuce, Head-24 ct green",10,$42.75,$47.45
6/20/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",10,$42.75,$47.45
6/20/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",5,$42.75,$47.45
6/20/2022,ONC,3266,"Onions, Green or Scallions-24 ct",5,$33.75,$37.46
6/20/2022,CMA,3278,"Radishes, bunched-24 ct",5,$43.50,$48.29
6/20/2022,CMU,3266,"Onions, Green or Scallions-24 ct",12,$33.75,$37.46
6/20/2022,CVP,3266,"Onions, Green or Scallions-24 ct",12,$33.75,$37.46
6/20/2022,CHO,3278,"Radishes, bunched-24 ct",20,$43.50,$48.29
6/20/2022,CBS,3278,"Radishes, bunched-24 ct",15,$43.50,$48.29
6/27/2022,D2D,3278,"Radishes, bunched-24 ct",10,$43.50,$48.29
6/27/2022,CMA,3266,"Onions, Green or Scallions-24 ct",5,$33.75,$37.46
6/27/2022,CBS,3278,"Radishes, bunched-24 ct",10,$43.50,$48.29
6/27/2022,CHO,3278,"Radishes, bunched-24 ct",20,$43.50,$48.29
6/27/2022,YMF,3266,"Onions, Green or Scallions-24 ct",10,$33.75,$37.46
6/27/2022,TEB,3266,"Onions, Green or Scallions-24 ct",12,$33.75,$37.46
6/27/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",10,$42.75,$47.45
6/27/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",5,$42.75,$47.45
6/27/2022,YMF,3806,"Greens, Lettuce, Head-24 ct green",10,$42.75,$47.45
6/27/2022,CVP,3266,"Onions, Green or Scallions-24 ct",12,$33.75,$37.46
6/27/2022,CMU,3266,"Onions, Green or Scallions-24 ct",12,$33.75,$37.46
6/27/2022,ONC,3266,"Onions, Green or Scallions-24 ct",5,$33.75,$37.46
6/27/2022,JWI,3278,"Radishes, bunched-24 ct",10,$43.50,$48.29
7/4/2022,YMF,3806,"Greens, Lettuce, Head-24 ct green",10,$42.75,$47.45
7/4/2022,CMA,3266,"Onions, Green or Scallions-24 ct",5,$33.75,$37.46
7/4/2022,CVP,3266,"Onions, Green or Scallions-24 ct",12,$33.75,$37.46
7/4/2022,YMF,3266,"Onions, Green or Scallions-24 ct",10,$33.75,$37.46
7/4/2022,CHO,3182,"Squash, Summer, Patty Pan",22,$24.00,$26.64
7/4/2022,PBY,3573,"Greens, Bok Choi",10,$46.25,$51.34
7/4/2022,MFP,3573,"Greens, Bok Choi",10,$46.25,$51.34
7/4/2022,KHF,3806,"Greens, Lettuce, Head-24 ct green",5,$42.75,$47.45
7/4/2022,PBY,3573,"Greens, Bok Choi",10,$46.25,$51.34
7/4/2022,ONC,3266,"Onions, Green or Scallions-24 ct",5,$33.75,$37.46
7/4/2022,JWI,3278,"Radishes, bunched-24 ct",10,$43.50,$48.29
7/4/2022,D2D,3278,"Radishes, bunched-24 ct",10,$43.50,$48.29
7/4/2022,D2D,3182,"Squash, Summer, Patty Pan",18,$24.00,$26.64
7/4/2022,CLP,3182,"Squash, Summer, Patty Pan",18,$24.00,$26.64
7/4/2022,TEB,3266,"Onions, Green or Scallions-24 ct",12,$33.75,$37.46
